#bget master file 
#https://github.com/jahwi/bget

#-----------------------------------------------------
#                     CHANGELOG
#19-JUN-2019: Changed 'dev-tools' category to 'devtools'.
#20-JUN-2019: Added category, last modified, and tags to the delimiter description.
#03-OCT-2019: Added script size to the delimiter description.
#25-OCT-2019: Renamed graphicsmacro to graphics.
#-----------------------------------------------------

#this file is delimited thus:
# [#], [script name] ,[script location (i.e. web address) ] ,[script description], [script's local filename], MD5hash, Author, Category, Last Modified, tags, [script size],
[#],test,https://raw.githubusercontent.com/jahwi/bget-list/master/test.bat,The Bget test file,test.bat,d20e619cbcdc632a9bec34d2cd46cb78,Jahwi,test files,Infinity,testfile,Infinite
[#],denystorage,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/denystorage/denystorage.bat,Deny access to all removable storage on a computer.,denystorage.bat,dfe7b2da35165428cd675023b15618bf,FreeBooter,utilities,21/01/2020 10:05 PM,denystorage,1476
[#],depop,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/depop/depop.cab,Storymode shooter batch game.,depop.cab,8aab3e3b0b5720d06e5c489056f4125f,FaceRadiation,game,26/01/2019 05:21 PM,rpg,13923788
[#],df,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/df/df.bat,Query free disk space of a drive,df.bat,f076f8173287e1648088f71a580cd2e1,skaybay,tools,26/01/2019 04:11 PM,utility,747
[#],digiclock,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/graphics/digiclock/digiclock.bat,Digital clock.,digiclock.bat,04904375519da5ec356d236c32ecf832,Aacini,graphics,26/01/2019 04:33 PM,time;date;day,2973
[#],dismman,https://codeload.github.com/ITCMD/DISM-Manager/zip/master,Script to help manage Dism and WinPE. Recommended for Windows10.,dismman.zip,External-File-No-Hash-Available,Lucas,utilities,Nil,dismman,Nil
[#],djbuzzradio,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/djbuzzradio/djbuzzradio.vbs,[VBS] Listen to live internet music.,djbuzzradio.vbs,faf5865d09782d09f45dc38ed2ebe66e,Hackoo,tools,26/01/2019 05:08 PM,radio,6845
[#],dotv,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/dotv/dotv.cab,a batch file rougelike.,dotv.cab,55f6fc7cd0ea3bba74e275bbf17e54fd,Shubshub,game,03/12/2018 08:50 AM,dotv,12771
[#],draw,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/graphics/draw/draw.cab,Draw in the console window with the mouse pointer.,draw.cab,9cfb9fcb0c112084f6ece7dd7ff8006b,Icarus,graphics,26/01/2019 05:21 PM,graphics;graphic,1899
[#],dscheck,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/dscheck/dscheck.cab,Batch-VBS hybrid to check download speed.,dscheck.cab,934e3abbd69106605d8e70029b62b4c4,Jahwi,utilities,20/01/2019 09:36 PM,dscheck,1152
[#],exanalyser,https://codeload.github.com/ExchangeAnalyzer/ExchangeAnalyzer/zip/master,A PowerShell tool that scans an Exchange Server 2013 or 2016 organization and reports on a series of checks for common configuration issues and recommended practices.,exanalyser.zip,External-File-No-Hash-Available,PaulCunningham,utilities,Nil,exanalyser,Nil
[#],farmer,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/farmer/farmer.cab,Farming simulator.,farmer.cab,35f7ea941ed8b49b06585e160a462c06,parkmist,game,05/12/2018 06:14 AM,farmer,4023
[#],fbird,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/fbird/fbird.cab,Flappy bird game in batch.,fbird.cab,ae12dffc32b3cd2ed55cbe39f880f7bb,Honguito98,game,02/12/2018 01:02 AM,fbird,1664714
[#],fill,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/fill/fill.bat,Fill the grid by visiting every cell. Watch out for eaters.,fill.bat,193c06af1f2ede42ac29f01893c5add0,chazjn,game,24/01/2019 09:16 PM,fill,6916
[#],finalrealm,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/finalrealm/finalrealm.bat,Text-based batch adventure rpg.,finalrealm.bat,c54705e80052e26fb1bfd7822d3a1ab5,Brian,game,24/01/2019 09:16 PM,finalrealm,84797
[#],finded,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/finded/finded.bat,Script to find empty directories.,finded.bat,92558cb39006598d1c3ec39c73a76ae8,mrkskwsnck,tools,26/01/2019 04:33 PM,folder;folders,1330
[#],findrepl,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/findrepl/findrepl.bat,Advanced command to find and replace strings.,findrepl.bat,a2ca73cde82114ac4c294ac49024fa68,Aacini,library,24/01/2019 09:17 PM,findrepl,37340
[#],flock,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/flock/flock.bat,Simple folder locker using user permissions.,flock.bat,21d5ef92f6d93ab8b22d2b0f8dc0c7f2,Jahwi,utilities,23/02/2019 03:53 PM,flock,1257
[#],foxcert,https://codeload.github.com/christian-korneck/firefox_add-certs/zip/master,Script to add new CA certificates to the Firefox trusted certificate store on Windows,foxcert.zip,External-File-No-Hash-Available,christian-korneck,utilities,Nil,foxcert,Nil
[#],fsbox,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/fsbox/fsbox.bat,Create sandbox for UNIX like filesystem structure,fsbox.bat,24b2934051f756b102a2692d0bc92cc5,Siberia-man,tools,26/02/2019 08:27 PM,fsbox,15776
[#],fspin,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/graphics/fspin/fspin.bat,Algorithmically draws and animates a fidget spinner.[Win10 Only],fspin.bat,4112b1a7e0789b945c9b5a5dd4a4d6d4,Icarus,graphics,24/01/2019 09:18 PM,fspin,3683
[#],ftpchat,https://codeload.github.com/ITCMD/ftpchat/zip/master,Super advanced ftp-based chat program in batch,ftpchat.zip,External-File-No-Hash-Available,Lucas,utilities,Nil,ftpchat,Nil
[#],gatr,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/game/gatr/gatr.cab,A short guided interaction about watchinng the rain.,gatr.cab,1f814a8f0648d2b9b4ea0cc118150b57,Lowsun,game,19/06/2019 04:49 PM,gatr,17722365
[#],gdork,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/gdork/gdork.bat,Build custom google dorks.,gdork.bat,20effa7188b2149bef60dfb03fbbceaa,JohnnyCache,tools,14/10/2019 10:12 PM,gdork,6023
[#],getclip,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/getclip/getclip.bat,Get the contents of the clipboard.,getclip.bat,dd34cc229ee0d6f17ad296e1c17ac07f,Rojo,tools,26/01/2019 04:32 PM,copy;paste,879
[#],getcookie,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/tools/getcookie/getcookie.vbs,[VBS] Extracts a cookie from a website.,getcookie.vbs,62909d4e4fc885a4ceccbd38a9d96611,Kul-Tigin,tools,26/01/2019 01:07 AM,getcookie,959
[#],getprocess,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/utilities/getprocess/getprocess.bat,Get a process' parent or child processes using its PID.,getprocess.bat,e6f0f202e0ae3e24ac0adb01bfccf034,Jahwi,utilities,07/02/2020 12:33 AM,getprocess,1019
[#],getsyslang,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/getsyslang/getsyslang.bat,Outputs the client set system language.,getsyslang.bat,593d7224f0f18407ed773b593016a7f8,CR4YZ33,library,17/10/2019 08:49 PM,getsyslang,4292
[#],gplot,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/gplot/gplot.bat,Crude quadratic graph plotter.,gplot.bat,cdf48c0ab353718e0faeebaf3e8acb96,Jahwi,library,24/01/2019 09:19 PM,gplot,3409
[#],graphics,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/graphics/graphics.bat,Macro library for graphics. [Win10 Only],graphics.bat,c67c534a49a786e7a3052b5077292370,Icarus,library,24/01/2019 09:19 PM,graphics,11896
[#],gravity,https://raw.githubusercontent.com/jahwi/bget-list/master/scripts/library/gravity/gravity.bat,Simulate gravity in batch graphics.,gravity.bat,ca0153988a10a00052a1aafe4081efb0,Icarus,library,13/03/2019 05:05 PM,gravity,4398
